RK,NAME,TEAM,SALARY,PLAYER,SALARY_NUM
1,"Stephen Curry, G",Golden State Warriors,"$59,606,817",Stephen Curry,59606817
2,"Joel Embiid, C",Philadelphia 76ers,"$55,224,526",Joel Embiid,55224526
3,"Nikola Jokic, C",Denver Nuggets,"$55,224,526",Nikola Jokic,55224526
4,"Kevin Durant, F",Houston Rockets,"$54,708,609",Kevin Durant,54708609
5,"Anthony Davis, F",Dallas Mavericks,"$54,126,450",Anthony Davis,54126450
6,"Karl-Anthony Towns, C",New York Knicks,"$54,126,450",Karl-Anthony Towns,54126450
7,"Giannis Antetokounmpo, F",Milwaukee Bucks,"$54,126,450",Giannis Antetokounmpo,54126450
8,"Luka Doncic, G",Los Angeles Lakers,"$54,126,450",Luka Doncic,54126450
9,"Jimmy Butler III, F",Golden State Warriors,"$54,126,450",Jimmy Butler III,54126450
10,"Jayson Tatum, F",Boston Celtics,"$54,126,450",Jayson Tatum,54126450
11,"Devin Booker, G",Phoenix Suns,"$53,142,264",Devin Booker,53142264
12,"Jaylen Brown, G",Boston Celtics,"$53,142,264",Jaylen Brown,53142264
13,"LeBron James, F",Los Angeles Lakers,"$52,627,153",LeBron James,52627153
14,"Paul George, F",Philadelphia 76ers,"$51,666,090",Paul George,51666090
15,"Kawhi Leonard, F",LA Clippers,"$50,000,000",Kawhi Leonard,50000000
16,"Zach LaVine, G",Sacramento Kings,"$47,499,660",Zach LaVine,47499660
17,"Trae Young, G",Washington Wizards,"$46,394,100",Trae Young,46394100
18,"Lauri Markkanen, F",Utah Jazz,"$46,394,100",Lauri Markkanen,46394100
19,"Cade Cunningham, G",Detroit Pistons,"$46,394,100",Cade Cunningham,46394100
20,"Jamal Murray, G",Denver Nuggets,"$46,394,100",Jamal Murray,46394100
21,"Evan Mobley, C",Cleveland Cavaliers,"$46,394,100",Evan Mobley,46394100
22,"Donovan Mitchell, G",Cleveland Cavaliers,"$46,394,100",Donovan Mitchell,46394100
23,"Anthony Edwards, G",Minnesota Timberwolves,"$45,550,512",Anthony Edwards,45550512
24,"Tyrese Haliburton, G",Indiana Pacers,"$45,550,512",Tyrese Haliburton,45550512
25,"Pascal Siakam, F",Indiana Pacers,"$45,550,512",Pascal Siakam,45550512
26,"Domantas Sabonis, F",Sacramento Kings,"$43,636,000",Domantas Sabonis,43636000
27,"OG Anunoby, F",New York Knicks,"$39,568,966",OG Anunoby,39568966
28,"Ja Morant, G",Memphis Grizzlies,"$39,446,090",Ja Morant,39446090
29,"Darius Garland, G",LA Clippers,"$39,446,090",Darius Garland,39446090
30,"James Harden, G",Cleveland Cavaliers,"$39,446,090",James Harden,39446090
31,"Zion Williamson, F",New Orleans Pelicans,"$39,446,090",Zion Williamson,39446090
32,"Scottie Barnes, F",Toronto Raptors,"$38,661,750",Scottie Barnes,38661750
33,"Franz Wagner, F",Orlando Magic,"$38,661,750",Franz Wagner,38661750
34,"Shai Gilgeous-Alexander, G",Oklahoma City Thunder,"$38,333,050",Shai Gilgeous-Alexander,38333050
35,"Michael Porter Jr., F",Brooklyn Nets,"$38,333,050",Michael Porter Jr.,38333050
36,"Brandon Ingram, F",Toronto Raptors,"$38,095,238",Brandon Ingram,38095238
37,"Tyrese Maxey, G",Philadelphia 76ers,"$37,958,760",Tyrese Maxey,37958760
38,"LaMelo Ball, G",Charlotte Hornets,"$37,958,760",LaMelo Ball,37958760
39,"De'Aaron Fox, G",San Antonio Spurs,"$37,096,620",De'Aaron Fox,37096620
40,"Bam Adebayo, C",Miami Heat,"$37,096,620",Bam Adebayo,37096620
41,"Desmond Bane, G",Orlando Magic,"$36,725,670",Desmond Bane,36725670
42,"Kyrie Irving, G",Dallas Mavericks,"$36,566,002",Kyrie Irving,36566002
43,"Jaren Jackson Jr., F",Utah Jazz,"$35,000,000",Jaren Jackson Jr.,35000000
44,"Jalen Suggs, G",Orlando Magic,"$35,000,000",Jalen Suggs,35000000
45,"Rudy Gobert, C",Minnesota Timberwolves,"$35,000,000",Rudy Gobert,35000000
46,"Jalen Brunson, G",New York Knicks,"$34,944,001",Jalen Brunson,34944001
47,"Alperen Sengun, C",Houston Rockets,"$33,944,954",Alperen Sengun,33944954
48,"Khris Middleton, F",Dallas Mavericks,"$33,926,296",Khris Middleton,33926296
49,"Jalen Green, G",Phoenix Suns,"$33,548,499",Jalen Green,33548499
50,"Immanuel Quickley, G",Toronto Raptors,"$32,500,000",Immanuel Quickley,32500000
51,"Jrue Holiday, G",Portland Trail Blazers,"$32,400,000",Jrue Holiday,32400000
52,"Jerami Grant, F",Portland Trail Blazers,"$32,000,000",Jerami Grant,32000000
53,"Jordan Poole, G",New Orleans Pelicans,"$31,848,215",Jordan Poole,31848215
54,"Tyler Herro, G",Miami Heat,"$31,000,000",Tyler Herro,31000000
55,"Julius Randle, F",Minnesota Timberwolves,"$30,864,198",Julius Randle,30864198
56,"Dejounte Murray, G",New Orleans Pelicans,"$30,801,103",Dejounte Murray,30801103
57,"Kristaps Porzingis, C",Golden State Warriors,"$30,731,707",Kristaps Porzingis,30731707
58,"CJ McCollum, G",Atlanta Hawks,"$30,666,666",CJ McCollum,30666666
59,"Jalen Johnson, F",Atlanta Hawks,"$30,000,000",Jalen Johnson,30000000
60,"Isaiah Hartenstein, C",Oklahoma City Thunder,"$28,500,000",Isaiah Hartenstein,28500000
61,"Andrew Wiggins, F",Miami Heat,"$28,223,214",Andrew Wiggins,28223214
62,"Derrick White, G",Boston Celtics,"$28,100,001",Derrick White,28100001
63,"RJ Barrett, F",Toronto Raptors,"$27,705,357",RJ Barrett,27705357
64,"Anfernee Simons, G",Chicago Bulls,"$27,678,571",Anfernee Simons,27678571
65,"Devin Vassell, G",San Antonio Spurs,"$27,000,000",Devin Vassell,27000000
66,"Terry Rozier, G",Miami Heat,"$26,643,031",Terry Rozier,26643031
67,"Tobias Harris, F",Detroit Pistons,"$26,634,146",Tobias Harris,26634146
68,"John Collins, F",LA Clippers,"$26,580,000",John Collins,26580000
69,"Draymond Green, F",Golden State Warriors,"$25,892,857",Draymond Green,25892857
70,"Nic Claxton, C",Brooklyn Nets,"$25,352,272",Nic Claxton,25352272
71,"Myles Turner, C",Milwaukee Bucks,"$25,318,251",Myles Turner,25318251
72,"Miles Bridges, F",Charlotte Hornets,"$25,000,000",Miles Bridges,25000000
73,"Fred VanVleet, G",Houston Rockets,"$25,000,000",Fred VanVleet,25000000
74,"Josh Giddey, G",Chicago Bulls,"$25,000,000",Josh Giddey,25000000
75,"Trey Murphy III, F",New Orleans Pelicans,"$25,000,000",Trey Murphy III,25000000
76,"Mikal Bridges, G",New York Knicks,"$24,900,000",Mikal Bridges,24900000
77,"Jaden McDaniels, F",Minnesota Timberwolves,"$24,858,622",Jaden McDaniels,24858622
78,"DeMar DeRozan, G",Sacramento Kings,"$24,570,000",DeMar DeRozan,24570000
79,"De'Andre Hunter, F",Sacramento Kings,"$23,303,571",De'Andre Hunter,23303571
80,"Aaron Gordon, F",Denver Nuggets,"$22,841,455",Aaron Gordon,22841455
81,"Jonathan Kuminga, F",Atlanta Hawks,"$22,500,000",Jonathan Kuminga,22500000
82,"Dillon Brooks, F",Phoenix Suns,"$22,124,110",Dillon Brooks,22124110
83,"Kyle Kuzma, F",Milwaukee Bucks,"$21,810,605",Kyle Kuzma,21810605
84,"Kentavious Caldwell-Pope, G",Memphis Grizzlies,"$21,621,500",Kentavious Caldwell-Pope,21621500
85,"Naz Reid, C",Minnesota Timberwolves,"$21,551,724",Naz Reid,21551724
86,"Nikola Vucevic, C",Boston Celtics,"$21,481,481",Nikola Vucevic,21481481
87,"Cameron Johnson, F",Denver Nuggets,"$21,057,065",Cameron Johnson,21057065
88,"Norman Powell, G",Miami Heat,"$20,482,758",Norman Powell,20482758
89,"Jarrett Allen, C",Cleveland Cavaliers,"$20,000,000",Jarrett Allen,20000000
90,"Jakob Poeltl, C",Toronto Raptors,"$19,500,000",Jakob Poeltl,19500000
91,"Josh Hart, G",New York Knicks,"$19,472,240",Josh Hart,19472240
92,"Jusuf Nurkic, C",Utah Jazz,"$19,375,000",Jusuf Nurkic,19375000
93,"Collin Sexton, G",Chicago Bulls,"$19,170,000",Collin Sexton,19170000
94,"Harrison Barnes, F",San Antonio Spurs,"$19,000,000",Harrison Barnes,19000000
95,"Malik Monk, G",Sacramento Kings,"$18,797,618",Malik Monk,18797618
96,"Santi Aldama, F",Memphis Grizzlies,"$18,485,916",Santi Aldama,18485916
97,"Rui Hachimura, F",Los Angeles Lakers,"$18,259,259",Rui Hachimura,18259259
98,"Luguentz Dort, G",Oklahoma City Thunder,"$18,222,222",Luguentz Dort,18222222
99,"Alex Caruso, G",Oklahoma City Thunder,"$18,102,000",Alex Caruso,18102000
100,"Andrew Nembhard, G",Indiana Pacers,"$18,102,000",Andrew Nembhard,18102000
101,"Ivica Zubac, C",Indiana Pacers,"$18,102,000",Ivica Zubac,18102000
102,"Zach Collins, F",Chicago Bulls,"$18,080,496",Zach Collins,18080496
103,"Patrick Williams, F",Chicago Bulls,"$18,000,000",Patrick Williams,18000000
104,"Kevin Huerter, G",Detroit Pistons,"$17,991,071",Kevin Huerter,17991071
105,"Keldon Johnson, F",San Antonio Spurs,"$17,500,000",Keldon Johnson,17500000
106,"Grayson Allen, G",Phoenix Suns,"$16,875,000",Grayson Allen,16875000
107,"Duncan Robinson, F",Detroit Pistons,"$16,834,692",Duncan Robinson,16834692
108,"Klay Thompson, G",Dallas Mavericks,"$16,666,667",Klay Thompson,16666667
109,"Bogdan Bogdanovic, G",LA Clippers,"$16,020,000",Bogdan Bogdanovic,16020000
110,"Max Strus, G",Cleveland Cavaliers,"$15,936,452",Max Strus,15936452
111,"Terance Mann, G",Brooklyn Nets,"$15,500,000",Terance Mann,15500000
112,"Paolo Banchero, F",Orlando Magic,"$15,334,769",Paolo Banchero,15334769
113,"Nickeil Alexander-Walker, G",Atlanta Hawks,"$15,161,800",Nickeil Alexander-Walker,15161800
114,"Isaiah Stewart, F",Detroit Pistons,"$15,000,000",Isaiah Stewart,15000000
115,"Jonathan Isaac, F",Orlando Magic,"$15,000,000",Jonathan Isaac,15000000
116,"Onyeka Okongwu, F",Atlanta Hawks,"$15,000,000",Onyeka Okongwu,15000000
117,"Cooper Flagg, F",Dallas Mavericks,"$14,386,320",Cooper Flagg,14386320
118,"Daniel Gafford, F",Dallas Mavericks,"$14,386,320",Daniel Gafford,14386320
119,"Deni Avdija, F",Portland Trail Blazers,"$14,375,000",Deni Avdija,14375000
120,"P.J. Washington, F",Dallas Mavericks,"$14,152,174",P.J. Washington,14152174
121,"Steven Adams, C",Houston Rockets,"$14,130,434",Steven Adams,14130434
122,"Damian Lillard, G",Portland Trail Blazers,"$14,104,000",Damian Lillard,14104000
123,"Caris LeVert, G",Detroit Pistons,"$14,104,000",Caris LeVert,14104000
124,"Dennis Schroder, G",Cleveland Cavaliers,"$14,104,000",Dennis Schroder,14104000
125,"Obi Toppin, F",Indiana Pacers,"$14,000,000",Obi Toppin,14000000
126,"Corey Kispert, F",Atlanta Hawks,"$13,975,000",Corey Kispert,13975000
127,"Austin Reaves, G",Los Angeles Lakers,"$13,937,574",Austin Reaves,13937574
128,"Herbert Jones, F",New Orleans Pelicans,"$13,937,574",Herbert Jones,13937574
129,"Chet Holmgren, C",Oklahoma City Thunder,"$13,731,368",Chet Holmgren,13731368
130,"Josh Green, G",Charlotte Hornets,"$13,666,667",Josh Green,13666667
131,"Grant Williams, F",Charlotte Hornets,"$13,645,500",Grant Williams,13645500
132,"Bobby Portis, F",Milwaukee Bucks,"$13,580,247",Bobby Portis,13580247
133,"Kelly Olynyk, F",San Antonio Spurs,"$13,445,122",Kelly Olynyk,13445122
134,"Victor Wembanyama, F",San Antonio Spurs,"$13,376,880",Victor Wembanyama,13376880
135,"Robert Williams III, C",Portland Trail Blazers,"$13,285,713",Robert Williams III,13285713
136,"Richaun Holmes, F",Washington Wizards,"$13,280,737",Richaun Holmes,13280737
137,"Zaccharie Risacher, F",Atlanta Hawks,"$13,197,720",Zaccharie Risacher,13197720
138,"Mitchell Robinson, C",New York Knicks,"$12,954,546",Mitchell Robinson,12954546
139,"Coby White, G",Charlotte Hornets,"$12,888,889",Coby White,12888889
140,"Dorian Finney-Smith, F",Houston Rockets,"$12,700,000",Dorian Finney-Smith,12700000
141,"Brandon Clarke, F",Memphis Grizzlies,"$12,500,000",Brandon Clarke,12500000
142,"Dylan Harper, G",San Antonio Spurs,"$12,370,320",Dylan Harper,12370320
143,"Isaiah Joe, G",Oklahoma City Thunder,"$12,362,338",Isaiah Joe,12362338
144,"Jabari Smith Jr., F",Houston Rockets,"$12,350,392",Jabari Smith Jr.,12350392
145,"Donte DiVincenzo, G",Minnesota Timberwolves,"$11,990,000",Donte DiVincenzo,11990000
146,"Brandon Miller, F",Charlotte Hornets,"$11,968,800",Brandon Miller,11968800
147,"Alex Sarr, C",Washington Wizards,"$11,808,240",Alex Sarr,11808240
148,"Davion Mitchell, G",Miami Heat,"$11,600,000",Davion Mitchell,11600000
149,"Moses Moody, G",Golden State Warriors,"$11,574,074",Moses Moody,11574074
150,"Jarred Vanderbilt, F",Los Angeles Lakers,"$11,571,429",Jarred Vanderbilt,11571429
151,"Matisse Thybulle, G",Portland Trail Blazers,"$11,550,000",Matisse Thybulle,11550000
152,"Gabe Vincent, G",Atlanta Hawks,"$11,500,000",Gabe Vincent,11500000
153,"Keegan Murray, F",Sacramento Kings,"$11,144,093",Keegan Murray,11144093
154,"VJ Edgecombe, G",Philadelphia 76ers,"$11,108,880",VJ Edgecombe,11108880
155,"Luke Kornet, C",San Antonio Spurs,"$11,000,000",Luke Kornet,11000000
156,"Luke Kennard, G",Los Angeles Lakers,"$11,000,000",Luke Kennard,11000000
157,"Maxi Kleber, F",Los Angeles Lakers,"$11,000,000",Maxi Kleber,11000000
158,"Aaron Nesmith, G",Indiana Pacers,"$11,000,000",Aaron Nesmith,11000000
159,"Isaac Okoro, F",Chicago Bulls,"$11,000,000",Isaac Okoro,11000000
160,"Wendell Carter Jr., C",Orlando Magic,"$10,850,000",Wendell Carter Jr.,10850000
161,"Scoot Henderson, G",Portland Trail Blazers,"$10,748,040",Scoot Henderson,10748040
162,"Reed Sheppard, G",Houston Rockets,"$10,603,560",Reed Sheppard,10603560
163,"Jonas Valanciunas, C",Denver Nuggets,"$10,395,000",Jonas Valanciunas,10395000
164,"T.J. McConnell, G",Indiana Pacers,"$10,200,000",T.J. McConnell,10200000
165,"Royce O'Neale, F",Phoenix Suns,"$10,125,000",Royce O'Neale,10125000
166,"Jaden Ivey, G",Chicago Bulls,"$10,107,163",Jaden Ivey,10107163
167,"Aaron Wiggins, G",Oklahoma City Thunder,"$10,102,802",Aaron Wiggins,10102802
168,"Sam Hauser, F",Boston Celtics,"$10,044,643",Sam Hauser,10044643
169,"Kon Knueppel, G",Charlotte Hornets,"$10,015,680",Kon Knueppel,10015680
170,"Lonzo Ball, G",Cleveland Cavaliers,"$10,000,000",Lonzo Ball,10000000
171,"Derrick Jones Jr., F",LA Clippers,"$10,000,000",Derrick Jones Jr.,10000000
172,"Amen Thompson, G",Houston Rockets,"$9,690,600",Amen Thompson,9690600
173,"Caleb Martin, F",Dallas Mavericks,"$9,594,044",Caleb Martin,9594044
174,"Stephon Castle, G",San Antonio Spurs,"$9,560,520",Stephon Castle,9560520
175,"Buddy Hield, G",Atlanta Hawks,"$9,219,512",Buddy Hield,9219512
176,"Bennedict Mathurin, G",LA Clippers,"$9,187,573",Bennedict Mathurin,9187573
177,"Ace Bailey, G",Utah Jazz,"$9,069,840",Ace Bailey,9069840
178,"Naji Marshall, F",Dallas Mavericks,"$9,000,000",Naji Marshall,9000000
179,"Jalen Smith, F",Chicago Bulls,"$9,000,000",Jalen Smith,9000000
180,"Ty Jerome, G",Memphis Grizzlies,"$8,781,000",Ty Jerome,8781000
181,"Ausar Thompson, G",Detroit Pistons,"$8,775,000",Ausar Thompson,8775000
182,"Brook Lopez, C",LA Clippers,"$8,750,000",Brook Lopez,8750000
183,"Quentin Grimes, G",Philadelphia 76ers,"$8,741,209",Quentin Grimes,8741209
184,"Cody Martin, SF",Indiana Pacers,"$8,680,000",Cody Martin,8680000
185,"Ronald Holland II, F",Detroit Pistons,"$8,657,280",Ronald Holland II,8657280
186,"Sam Merrill, G",Cleveland Cavaliers,"$8,482,143",Sam Merrill,8482143
187,"Jaylin Williams, F",Oklahoma City Thunder,"$8,450,794",Jaylin Williams,8450794
188,"Shaedon Sharpe, G",Portland Trail Blazers,"$8,399,983",Shaedon Sharpe,8399983
189,"Kelly Oubre Jr., G",Philadelphia 76ers,"$8,382,150",Kelly Oubre Jr.,8382150
190,"Goga Bitadze, C",Orlando Magic,"$8,333,333",Goga Bitadze,8333333
191,"Simone Fontecchio, F",Miami Heat,"$8,307,692",Simone Fontecchio,8307692
192,"Tre Johnson, G",Washington Wizards,"$8,237,640",Tre Johnson,8237640
193,"Georges Niang, F",Memphis Grizzlies,"$8,200,000",Georges Niang,8200000
194,"Zeke Nnaji, F",Denver Nuggets,"$8,177,778",Zeke Nnaji,8177778
195,"Deandre Ayton, C",Los Angeles Lakers,"$8,104,000",Deandre Ayton,8104000
196,"KJ Martin, F",Utah Jazz,"$8,025,000",KJ Martin,8025000
197,"Tre Mann, G",Charlotte Hornets,"$8,000,000",Tre Mann,8000000
198,"Tre Jones, G",Chicago Bulls,"$8,000,000",Tre Jones,8000000
199,"Kevon Looney, F",New Orleans Pelicans,"$8,000,000",Kevon Looney,8000000
200,"Anthony Black, G",Orlando Magic,"$7,970,280",Anthony Black,7970280
201,"Tidjane Salaun, F",Charlotte Hornets,"$7,863,240",Tidjane Salaun,7863240
202,"Josh Okogie, G",Houston Rockets,"$7,750,000",Josh Okogie,7750000
203,"Max Christie, G",Dallas Mavericks,"$7,714,286",Max Christie,7714286
204,"Dyson Daniels, G",Atlanta Hawks,"$7,707,709",Dyson Daniels,7707709
205,"Jeremiah Fears, G",New Orleans Pelicans,"$7,520,040",Jeremiah Fears,7520040
206,"Ayo Dosunmu, G",Minnesota Timberwolves,"$7,518,519",Ayo Dosunmu,7518519
207,"Bilal Coulibaly, G",Washington Wizards,"$7,275,600",Bilal Coulibaly,7275600
208,"Payton Pritchard, G",Boston Celtics,"$7,232,143",Payton Pritchard,7232143
209,"Donovan Clingan, C",Portland Trail Blazers,"$7,178,400",Donovan Clingan,7178400
210,"Kenrich Williams, G",Oklahoma City Thunder,"$7,163,000",Kenrich Williams,7163000
211,"Isaiah Jackson, F",LA Clippers,"$7,000,000",Isaiah Jackson,7000000
212,"Egor Demin, G",Brooklyn Nets,"$6,889,200",Egor Demin,6889200
213,"Clint Capela, C",Houston Rockets,"$6,700,000",Clint Capela,6700000
214,"Ousmane Dieng, F",Milwaukee Bucks,"$6,670,882",Ousmane Dieng,6670882
215,"Jarace Walker, F",Indiana Pacers,"$6,665,520",Jarace Walker,6665520
216,"Dean Wade, F",Cleveland Cavaliers,"$6,623,456",Dean Wade,6623456
217,"Jalen Williams, G",Oklahoma City Thunder,"$6,580,997",Jalen Williams,6580997
218,"Rob Dillingham, G",Chicago Bulls,"$6,576,120",Rob Dillingham,6576120
219,"Jalen Duren, C",Detroit Pistons,"$6,483,144",Jalen Duren,6483144
220,"Ochai Agbaji, G",Brooklyn Nets,"$6,383,525",Ochai Agbaji,6383525
221,"Collin Murray-Boyles, F",Toronto Raptors,"$6,332,520",Collin Murray-Boyles,6332520
222,"Mark Williams, C",Phoenix Suns,"$6,276,531",Mark Williams,6276531
223,"Ziaire Williams, F",Brooklyn Nets,"$6,250,000",Ziaire Williams,6250000
224,"Day'Ron Sharpe, C",Brooklyn Nets,"$6,250,000",Day'Ron Sharpe,6250000
225,"John Konchar, G",Utah Jazz,"$6,165,000",John Konchar,6165000
226,"Taylor Hendricks, F",Memphis Grizzlies,"$6,127,080",Taylor Hendricks,6127080
227,"Saddiq Bey, G",New Orleans Pelicans,"$6,118,644",Saddiq Bey,6118644
228,"Zach Edey, C",Memphis Grizzlies,"$6,045,000",Zach Edey,6045000
229,"Khaman Maluach, C",Phoenix Suns,"$6,016,080",Khaman Maluach,6016080
230,"Jaden Hardy, G",Washington Wizards,"$6,000,000",Jaden Hardy,6000000
231,"Jake LaRavia, F",Los Angeles Lakers,"$6,000,000",Jake LaRavia,6000000
232,"Cason Wallace, G",Oklahoma City Thunder,"$5,820,240",Cason Wallace,5820240
233,"Cody Williams, F",Utah Jazz,"$5,742,480",Cody Williams,5742480
234,"Cedric Coward, F",Memphis Grizzlies,"$5,715,120",Cedric Coward,5715120
